model,split,accuracy,f1_score,roc_auc,true_negatives,true_positives,false_positives,false_negatives,precision,recall,true_negative_rate,false_negative_rate,false_positive_rate
BoW_log_reg,train,0.7842,0.777,0.8595,579,533,126,180,0.8088,0.7475,0.8213,0.2525,0.1787
BoW_log_reg,validation,0.7853,0.7711,0.8654,75,64,13,25,0.8312,0.7191,0.8523,0.2809,0.1477
BoW_log_reg,test,0.7135,0.6871,0.7449,71,56,17,34,0.7671,0.6222,0.8068,0.3778,0.1932
BoW_rf,train,0.8032,0.7919,0.8875,608,531,97,182,0.8455,0.7447,0.8624,0.2553,0.1376
BoW_rf,validation,0.7458,0.7239,0.8414,73,59,15,30,0.7973,0.6629,0.8295,0.3371,0.1705
BoW_rf,test,0.6742,0.6375,0.7361,69,51,19,39,0.7286,0.5667,0.7841,0.4333,0.2159
BoW_svc,train,0.9133,0.9103,0.9751,671,624,34,89,0.9483,0.8752,0.9518,0.1248,0.0482
BoW_svc,validation,0.7627,0.7375,0.8463,76,59,12,30,0.831,0.6629,0.8636,0.3371,0.1364
BoW_svc,test,0.6854,0.65,0.7569,70,52,18,38,0.7429,0.5778,0.7955,0.4222,0.2045
tf_idf_log_reg,train,0.7849,0.7719,0.8566,597,516,108,197,0.8269,0.7237,0.8468,0.2763,0.1532
tf_idf_log_reg,validation,0.7853,0.7711,0.8431,75,64,13,25,0.8312,0.7191,0.8523,0.2809,0.1477
tf_idf_log_reg,test,0.691,0.6626,0.7316,69,54,19,36,0.7397,0.6,0.7841,0.4,0.2159
tf_idf_rf,train,0.8258,0.8169,0.9179,620,551,85,162,0.8664,0.7728,0.8794,0.2272,0.1206
tf_idf_rf,validation,0.7627,0.7558,0.84,70,65,18,24,0.7831,0.7303,0.7955,0.2697,0.2045
tf_idf_rf,test,0.7135,0.6982,0.7624,68,59,20,31,0.7468,0.6556,0.7727,0.3444,0.2273
tf_idf_svc,train,0.9683,0.9683,0.9941,686,687,19,26,0.9731,0.9635,0.973,0.0365,0.027
tf_idf_svc,validation,0.7345,0.7314,0.7976,66,64,22,25,0.7442,0.7191,0.75,0.2809,0.25
tf_idf_svc,test,0.6685,0.6509,0.7129,64,55,24,35,0.6962,0.6111,0.7273,0.3889,0.2727
distilroberta,validation,0.7288,0.7282,0.7903,60,69,28,20,0.7306,0.7288,0.6818,0.2247,0.3182
distilroberta,train,0.6742,0.674,0.74,493,463,212,250,0.6748,0.6742,0.6993,0.3506,0.3007
distilroberta,test,0.7135,0.7132,0.7186,66,61,22,29,0.7151,0.7135,0.75,0.3222,0.25
longformer,train,0.8484,0.829,0.9338,682,521,23,192,0.9577,0.7307,0.9674,0.2693,0.0326
longformer,validation,0.7627,0.7273,0.8461,79,56,9,33,0.8615,0.6292,0.8977,0.3708,0.1023
longformer,test,0.691,0.6405,0.7448,74,49,14,41,0.7778,0.5444,0.8409,0.4556,0.1591
