model,split,accuracy,f1_score,roc_auc,true_negatives,true_positives,false_positives,false_negatives,precision,recall,true_negative_rate,false_negative_rate,false_positive_rate
BoW_log_reg,train,0.7842,0.777,0.8595426377408413,579,533,126,180,0.8088012139605463,0.7475455820476858,0.8212765957446808,0.2524544179523141,0.1787234042553191
BoW_log_reg,validation,0.7853,0.7711,0.8654239019407558,75,64,13,25,0.8311688311688312,0.7191011235955056,0.8522727272727273,0.2808988764044944,0.1477272727272727
BoW_log_reg,test,0.7135,0.6871,0.744949494949495,71,56,17,34,0.7671232876712328,0.6222222222222222,0.8068181818181818,0.3777777777777777,0.1931818181818181
BoW_rf,train,0.8032,0.7919,0.8874906747038287,608,531,97,182,0.8455414012738853,0.7447405329593267,0.8624113475177305,0.2552594670406732,0.1375886524822695
BoW_rf,validation,0.7458,0.7239,0.8414198161389174,73,59,15,30,0.7972972972972973,0.6629213483146067,0.8295454545454546,0.3370786516853932,0.1704545454545454
BoW_rf,test,0.6742,0.6375,0.7361111111111112,69,51,19,39,0.7285714285714285,0.5666666666666667,0.7840909090909091,0.4333333333333333,0.2159090909090909
BoW_svc,train,0.9133,0.9103,0.97512458595685,671,624,34,89,0.9483282674772036,0.8751753155680224,0.95177304964539,0.1248246844319775,0.0482269503546099
BoW_svc,validation,0.7627,0.7375,0.8462717058222676,76,59,12,30,0.8309859154929577,0.6629213483146067,0.8636363636363636,0.3370786516853932,0.1363636363636363
BoW_svc,test,0.6854,0.65,0.7568813131313132,70,52,18,38,0.7428571428571429,0.5777777777777777,0.7954545454545454,0.4222222222222222,0.2045454545454545
tf_idf_log_reg,train,0.7849,0.7719,0.8566470711109785,597,516,108,197,0.8269230769230769,0.7237026647966339,0.8468085106382979,0.2762973352033661,0.1531914893617021
tf_idf_log_reg,validation,0.7853,0.7711,0.843079673135853,75,64,13,25,0.8311688311688312,0.7191011235955056,0.8522727272727273,0.2808988764044944,0.1477272727272727
tf_idf_log_reg,test,0.691,0.6626,0.7315656565656565,69,54,19,36,0.7397260273972602,0.6,0.7840909090909091,0.4,0.2159090909090909
tf_idf_rf,train,0.8258,0.8169,0.917924462614266,620,551,85,162,0.8663522012578616,0.7727910238429172,0.8794326241134752,0.2272089761570827,0.1205673758865248
tf_idf_rf,validation,0.7627,0.7558,0.8400153217568949,70,65,18,24,0.7831325301204819,0.7303370786516854,0.7954545454545454,0.2696629213483146,0.2045454545454545
tf_idf_rf,test,0.7135,0.6982,0.7623737373737374,68,59,20,31,0.7468354430379747,0.6555555555555556,0.7727272727272727,0.3444444444444444,0.2272727272727272
tf_idf_svc,train,0.9683,0.9683,0.9941133757074792,686,687,19,26,0.973087818696884,0.9635343618513325,0.9730496453900708,0.0364656381486676,0.026950354609929
tf_idf_svc,validation,0.7345,0.7314,0.7976251276813074,66,64,22,25,0.7441860465116279,0.7191011235955056,0.75,0.2808988764044944,0.25
tf_idf_svc,test,0.6685,0.6509,0.7129419191919192,64,55,24,35,0.6962025316455697,0.6111111111111112,0.7272727272727273,0.3888888888888889,0.2727272727272727
distilroberta,train_validation,0.6045197740112994,0.5663029611492777,0.7779622063329928,27,80,61,9,0.6581720559362103,0.6045197740112994,0.3068181818181818,0.10112359550561797,0.6931818181818182
distilroberta,train_validation,0.6949152542372882,0.6889534626968495,0.7843462717058223,49,74,39,15,0.7099332533373331,0.6949152542372882,0.5568181818181818,0.16853932584269662,0.4431818181818182
distilroberta,train_validation,0.7288135593220338,0.7281887057720847,0.7903472931562818,60,69,28,20,0.7305608946356805,0.7288135593220338,0.6818181818181818,0.2247191011235955,0.3181818181818182
distilroberta,train,0.6741889985895627,0.6740041940785171,0.7399520555439507,493,463,212,250,0.6747892721276271,0.6741889985895627,0.699290780141844,0.3506311360448808,0.300709219858156
distilroberta,test,0.7134831460674157,0.7131663928570288,0.7185606060606061,66,61,22,29,0.7150641596545853,0.7134831460674157,0.75,0.32222222222222224,0.25
