model,split,mean_acc_score,f1_score,cr_label0_precision,cr_label0_recall,cr_label0_f1_score,cr_label0_support,cr_label1_precision,cr_label1_recall,cr_label1_f1_score,cr_label1_support,roc_auc
BoW_log_reg,train,0.7934,0.7869,0.7724867724867724,0.8283687943262411,0.7994524298425736,705.0,0.8172205438066465,0.758765778401122,0.7869090909090909,713.0,0.8664319178777118
BoW_log_reg,val,0.7797,0.7665,0.7474747474747475,0.8409090909090909,0.7914438502673797,88.0,0.8205128205128205,0.7191011235955056,0.7664670658682635,89.0,0.8673391215526047
BoW_log_reg,test,0.7022,0.6826,0.6732673267326733,0.7727272727272727,0.7195767195767195,88.0,0.7402597402597403,0.6333333333333333,0.6826347305389222,90.0,0.7463383838383839
BoW_rf,train,0.7786,0.7711,0.7575757575757576,0.8156028368794326,0.7855191256830601,705.0,0.802731411229135,0.7419354838709677,0.7711370262390671,713.0,0.8663185222762675
BoW_rf,val,0.7627,0.7439,0.7254901960784313,0.8409090909090909,0.7789473684210526,88.0,0.8133333333333334,0.6853932584269663,0.7439024390243902,89.0,0.8506128702757917
BoW_rf,test,0.6798,0.6503,0.6476190476190476,0.7727272727272727,0.7046632124352331,88.0,0.726027397260274,0.5888888888888889,0.6503067484662577,90.0,0.7398989898989901
BoW_svc,train,0.8096,0.7861,0.7502876869965478,0.924822695035461,0.8284625158831004,705.0,0.9034608378870674,0.6956521739130435,0.786053882725832,713.0,0.9192593476768822
BoW_svc,val,0.7571,0.7152,0.6956521739130435,0.9090909090909091,0.7881773399014779,88.0,0.8709677419354839,0.6067415730337079,0.7152317880794702,89.0,0.8476123595505618
BoW_svc,test,0.7135,0.6623,0.6581196581196581,0.875,0.751219512195122,88.0,0.819672131147541,0.5555555555555556,0.6622516556291391,90.0,0.763510101010101
tf_idf_log_reg,train,0.7701,0.7549,0.7365792759051186,0.8368794326241135,0.7835325365205843,705.0,0.813614262560778,0.7040673211781207,0.7548872180451128,713.0,0.8338575393154486
tf_idf_log_reg,val,0.7684,0.7421,0.719626168224299,0.875,0.7897435897435897,88.0,0.8428571428571429,0.6629213483146067,0.7421383647798742,89.0,0.8446118488253319
tf_idf_log_reg,test,0.6854,0.6543,0.6509433962264151,0.7840909090909091,0.711340206185567,88.0,0.7361111111111112,0.5888888888888889,0.654320987654321,90.0,0.73989898989899
tf_idf_rf,train,0.8025,0.7953,0.7785058977719528,0.8425531914893617,0.8092643051771117,705.0,0.8305343511450382,0.7629733520336606,0.7953216374269005,713.0,0.9071628221578983
tf_idf_rf,val,0.7853,0.7738,0.7551020408163265,0.8409090909090909,0.7956989247311828,88.0,0.8227848101265823,0.7303370786516854,0.7738095238095238,89.0,0.8610827374872319
tf_idf_rf,test,0.7079,0.6941,0.6836734693877551,0.7613636363636364,0.7204301075268817,88.0,0.7375,0.6555555555555556,0.6941176470588235,90.0,0.7554292929292931
tf_idf_svc,train,0.9224,0.9213,0.9058663028649386,0.9418439716312057,0.9235048678720446,705.0,0.9401459854014599,0.9032258064516129,0.9213161659513591,713.0,0.9711696656819154
tf_idf_svc,val,0.7062,0.7143,0.7142857142857143,0.6818181818181818,0.6976744186046512,88.0,0.6989247311827957,0.7303370786516854,0.7142857142857143,89.0,0.7792390194075588
tf_idf_svc,test,0.6517,0.6437,0.6382978723404256,0.6818181818181818,0.6593406593406593,88.0,0.6666666666666666,0.6222222222222222,0.6436781609195402,90.0,0.7018308080808081
