model,split,accuracy,f1_score,roc_auc,true_negatives,true_positives,false_positives,false_negatives,precision,recall,true_negative_rate,false_negative_rate,false_positive_rate
BoW_log_reg,train,0.7934,0.7869,0.8664319178777118,584,541,121,172,0.8172205438066465,0.758765778401122,0.8283687943262411,0.2412342215988779,0.1716312056737588
BoW_log_reg,validation,0.7797,0.7665,0.8673391215526047,74,64,14,25,0.8205128205128205,0.7191011235955056,0.8409090909090909,0.2808988764044944,0.1590909090909091
BoW_log_reg,test,0.7022,0.6826,0.7463383838383839,68,57,20,33,0.7402597402597403,0.6333333333333333,0.7727272727272727,0.3666666666666666,0.2272727272727272
BoW_rf,train,0.7786,0.7711,0.8663185222762675,575,529,130,184,0.802731411229135,0.7419354838709677,0.8156028368794326,0.2580645161290322,0.1843971631205673
BoW_rf,validation,0.7627,0.7439,0.8506128702757917,74,61,14,28,0.8133333333333334,0.6853932584269663,0.8409090909090909,0.3146067415730337,0.1590909090909091
BoW_rf,test,0.6798,0.6503,0.7398989898989901,68,53,20,37,0.726027397260274,0.5888888888888889,0.7727272727272727,0.4111111111111111,0.2272727272727272
BoW_svc,train,0.8096,0.7861,0.9192593476768822,652,496,53,217,0.9034608378870674,0.6956521739130435,0.924822695035461,0.3043478260869565,0.075177304964539
BoW_svc,validation,0.7571,0.7152,0.8476123595505618,80,54,8,35,0.8709677419354839,0.6067415730337079,0.9090909090909092,0.3932584269662921,0.0909090909090909
BoW_svc,test,0.7135,0.6623,0.763510101010101,77,50,11,40,0.819672131147541,0.5555555555555556,0.875,0.4444444444444444,0.125
tf_idf_log_reg,train,0.7701,0.7549,0.8338575393154486,590,502,115,211,0.813614262560778,0.7040673211781207,0.8368794326241135,0.2959326788218794,0.1631205673758865
tf_idf_log_reg,validation,0.7684,0.7421,0.8446118488253319,77,59,11,30,0.8428571428571429,0.6629213483146067,0.875,0.3370786516853932,0.125
tf_idf_log_reg,test,0.6854,0.6543,0.73989898989899,69,53,19,37,0.7361111111111112,0.5888888888888889,0.7840909090909091,0.4111111111111111,0.2159090909090909
tf_idf_rf,train,0.8025,0.7953,0.9071628221578985,594,544,111,169,0.8305343511450382,0.7629733520336606,0.8425531914893617,0.2370266479663394,0.1574468085106383
tf_idf_rf,validation,0.7853,0.7738,0.8610827374872319,74,65,14,24,0.8227848101265823,0.7303370786516854,0.8409090909090909,0.2696629213483146,0.1590909090909091
tf_idf_rf,test,0.7079,0.6941,0.7554292929292931,67,59,21,31,0.7375,0.6555555555555556,0.7613636363636364,0.3444444444444444,0.2386363636363636
tf_idf_svc,train,0.9224,0.9213,0.9711696656819154,664,644,41,69,0.94014598540146,0.9032258064516128,0.9418439716312056,0.0967741935483871,0.0581560283687943
tf_idf_svc,validation,0.7062,0.7143,0.7792390194075588,60,65,28,24,0.6989247311827957,0.7303370786516854,0.6818181818181818,0.2696629213483146,0.3181818181818182
tf_idf_svc,test,0.6517,0.6437,0.7018308080808081,60,56,28,34,0.6666666666666666,0.6222222222222222,0.6818181818181818,0.3777777777777777,0.3181818181818182
distilroberta,train,0.519434628975265,0.38938078539925375,0.7157127160123862,139,8,3,133,0.618769014190964,0.519434628975265,0.9788732394366197,0.9432624113475178,0.02112676056338028
distilroberta,train,0.6713780918727915,0.6572181175714745,0.7427329937069225,124,66,18,75,0.704127654932918,0.6713780918727915,0.8732394366197183,0.5319148936170213,0.1267605633802817
distilroberta,train,0.6819787985865724,0.6799561901411829,0.7453800819098991,108,85,34,56,0.6863126531315793,0.6819787985865724,0.7605633802816901,0.3971631205673759,0.23943661971830985
distilroberta,validation,0.751412429378531,0.7511741969763255,0.8041368743615935,69,64,19,25,0.7526680830787991,0.751412429378531,0.7840909090909091,0.2808988764044944,0.2159090909090909
distilroberta,test,0.7134831460674157,0.7125855993617446,0.735479797979798,68,59,20,31,0.7171889568419222,0.7134831460674157,0.7727272727272727,0.34444444444444444,0.22727272727272727
